"company_code;plant_code;supplier_code;supplier_plant;part_code;part_name;line_dc;date_scan_dc;npk_dc;line_ma;date_scan_ma;npk_ma;line_delivery;date_scan_delivery;npk_delivery;cust_part_number","","","","","","","","","","","","","","",""
"80J7","6","5011","2","15011418C14A154","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 6","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A155","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","Cycle 1","2018-12-17","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A157","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","Cycle 1","2018-12-17","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A159","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","Cycle 1","2018-12-17","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A160","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","Cycle 6","2018-12-17","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A161","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A167","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","Cycle 1","2018-12-17","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A168","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","Cycle 1","2018-12-17","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A170","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A172","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","Cycle 1","2018-12-17","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A173","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A174","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","Cycle 1","2018-12-17","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A178","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","Cycle 1","2018-12-17","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A179","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","Cycle 1","2018-12-17","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A181","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A180","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","Cycle 1","2018-12-17","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A185","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A186","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","Cycle 1","2018-12-17","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A188","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","Cycle 1","2018-12-17","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A184","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-16","001357","Cycle 1","2018-12-17","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A190","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A187","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A191","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A194","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A193","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A192","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A196","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A197","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A201","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A202","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A205","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A207","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A208","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A209","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A210","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A211","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","15011418C14A212","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-17","001357","Cycle 3","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A221","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 6","2018-12-17","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A241","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 5","2018-12-17","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A279","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 5","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A280","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 5","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A284","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 5","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A286","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 5","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A287","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 5","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A292","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 1","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A298","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 1","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A299","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 1","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A303","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 1","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A304","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 1","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A305","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 1","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A306","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 1","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A307","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 1","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A308","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 1","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A309","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 1","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A312","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 1","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A322","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 1","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A324","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 1","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A323","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 1","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A325","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-14","001357","Cycle 1","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A355","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-18","001357","Cycle 6","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","11021418C14A356","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-14","001594","MA006","2018-12-18","001357","Cycle 6","2018-12-18","123","12101-OYO40"
"80J7","6","5011","2","10031418C24A094","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-24","001357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A095","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","001540","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A096","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-24","001357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A097","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-24","001357","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A100","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","001540","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A101","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA007","2018-12-24","001540","Cycle 1","2018-12-26","123","12101-OYO80"
"80J7","6","5011","2","10031418C24A102","PAN SUB ASSY OIL NO.1","DCAA04","2018-12-24","001594","MA006","2018-12-24","001357","Cycle 1","2018-12-26","123","12101-OYO80"
